"bike","date","type"
4998,394,"기타 "
1975,394,"체인"
2596,394,"잠금장치 불량"
3305,395,"타이어 "
2643,395,"페달"
2688,395,"체인"
4565,395,"페달"
2722,395,"단말기"
3861,395,"단말기"
4173,395,"타이어 "
3266,396,"체인"
606,396,"단말기"
606,396,"기타 "
3122,396,"단말기"
2821,396,"체인"
2751,396,"타이어 "
2751,396,"체인"
2751,396,"기타 "
2337,396,"타이어 "
1777,396,"기타 "
3392,396,"안장"
2485,396,"안장"
211,397,"체인"
211,397,"파손"
2618,397,"페달"
3765,397,"안장"
5021,397,"기타 "
5021,397,"잠금장치 불량"
4479,397,"안장"
3319,397,"체인"
1814,397,"기타 "
3979,397,"체인"
3979,397,"기타 "
4862,397,"안장"
609,397,"단말기"
1124,397,"기타 "
1525,398,"기타 "
629,398,"단말기"
602,398,"단말기"
2986,398,"타이어 "
2769,398,"안장"
4356,398,"타이어 "
3428,398,"체인"
1710,398,"기타 "
4154,398,"체인"
525,398,"페달"
2304,398,"체인"
4856,399,"타이어 "
1869,399,"체인"
2158,399,"기타 "
3272,399,"기타 "
2155,399,"체인"
913,399,"체인"
3308,399,"단말기"
3948,399,"타이어 "
1400,399,"기타 "
2818,400,"체인"
3075,400,"안장"
3075,400,"기타 "
3517,400,"기타 "
1846,400,"단말기"
1210,400,"체인"
3004,400,"타이어 "
3004,400,"체인"
3004,400,"안장"
3004,400,"페달"
3004,400,"단말기"
3004,400,"기타 "
1220,400,"타이어 "
1220,400,"체인"
1220,400,"안장"
1220,400,"페달"
1220,400,"단말기"
1220,400,"기타 "
2802,400,"체인"
2365,401,"체인"
2365,401,"기타 "
1376,402,"단말기"
4903,402,"체인"
1204,402,"기타 "
2688,402,"체인"
2675,402,"체인"
668,402,"기타 "
547,402,"기타 "
3035,402,"기타 "
3071,402,"체인"
3071,402,"페달"
4023,402,"체인"
4023,402,"페달"
615,402,"단말기"
615,402,"잠금장치 불량"
4349,403,"기타 "
4349,403,"파손"
2912,403,"체인"
2912,403,"기타 "
1777,403,"타이어 "
305,403,"페달"
4547,404,"타이어 "
4547,404,"체인"
4547,404,"기타 "
2853,404,"체인"
3356,404,"기타 "
380,404,"기타 "
599,404,"기타 "
3176,404,"체인"
1972,404,"안장"
2125,404,"체인"
1728,404,"체인"
2053,404,"기타 "
3339,404,"안장"
1442,404,"타이어 "
4576,404,"체인"
4576,404,"기타 "
604,404,"단말기"
604,404,"잠금장치 불량"
3146,405,"기타 "
2432,405,"기타 "
2251,405,"안장"
4576,405,"체인"
4576,405,"기타 "
4008,405,"기타 "
615,405,"단말기"
731,405,"안장"
731,405,"파손"
4595,406,"기타 "
847,406,"기타 "
3737,406,"타이어 "
2751,406,"체인"
2751,406,"페달"
3318,406,"타이어 "
2930,406,"안장"
2396,406,"체인"
2338,406,"타이어 "
2338,406,"기타 "
4893,406,"타이어 "
2368,407,"체인"
2380,408,"기타 "
3727,408,"단말기"
4480,408,"기타 "
4566,408,"안장"
2648,409,"안장"
3961,409,"타이어 "
2232,409,"기타 "
2107,409,"체인"
3695,409,"기타 "
1902,410,"기타 "
497,410,"타이어 "
1061,410,"체인"
1061,410,"기타 "
2690,410,"안장"
4918,411,"기타 "
2465,411,"체인"
3459,411,"체인"
3459,411,"페달"
3167,412,"타이어 "
3346,412,"체인"
2858,412,"페달"
3305,412,"단말기"
892,412,"체인"
892,412,"페달"
1623,412,"기타 "
3374,412,"체인"
3944,412,"체인"
2676,413,"기타 "
2438,413,"체인"
2148,413,"체인"
1684,413,"기타 "
378,413,"체인"
3378,413,"체인"
311,414,"체인"
311,414,"안장"
4505,414,"타이어 "
2263,414,"타이어 "
609,414,"단말기"
4353,414,"기타 "
4353,414,"잠금장치 불량"
3104,415,"타이어 "
2783,415,"기타 "
4813,415,"기타 "
2001,416,"기타 "
4896,416,"기타 "
895,417,"체인"
2632,417,"기타 "
2658,417,"체인"
2780,418,"체인"
4446,419,"단말기"
4359,419,"기타 "
3689,419,"기타 "
3195,419,"체인"
625,419,"기타 "
1152,420,"기타 "
4468,421,"타이어 "
347,421,"단말기"
347,421,"기타 "
2988,421,"타이어 "
348,422,"타이어 "
348,422,"파손"
1761,422,"기타 "
1761,422,"잠금장치 불량"
2905,422,"체인"
4010,423,"기타 "
1755,423,"단말기"
4866,423,"체인"
3915,424,"타이어 "
1571,424,"기타 "
1571,424,"잠금장치 불량"
92,424,"체인"
92,424,"페달"
4074,424,"기타 "
4074,424,"파손"
3743,424,"타이어 "
154,425,"타이어 "
154,425,"파손"
488,425,"타이어 "
488,425,"안장"
2312,425,"기타 "
295,425,"기타 "
4349,425,"타이어 "
4147,425,"타이어 "
4147,425,"페달"
3229,425,"타이어 "
2253,425,"타이어 "
2253,425,"체인"
2876,425,"타이어 "
2536,426,"체인"
229,426,"타이어 "
1465,426,"기타 "
4905,426,"안장"
2798,427,"타이어 "
295,427,"타이어 "
2953,428,"타이어 "
4783,428,"체인"
4783,428,"페달"
2148,428,"체인"
4114,429,"단말기"
3688,430,"기타 "
3062,430,"안장"
2184,430,"기타 "
1435,430,"단말기"
2323,431,"체인"
4619,431,"타이어 "
965,433,"기타 "
2903,435,"단말기"
2903,435,"기타 "
638,436,"타이어 "
3397,437,"타이어 "
3041,438,"기타 "
3562,438,"안장"
532,438,"기타 "
4900,439,"안장"
121,440,"기타 "
1175,441,"단말기"
5005,441,"체인"
539,442,"체인"
2057,445,"안장"
1409,446,"기타 "
1409,446,"잠금장치 불량"
592,447,"단말기"
4576,448,"체인"
4576,448,"페달"
2542,448,"타이어 "
2542,448,"체인"
2542,448,"기타 "
1896,448,"타이어 "
1896,448,"단말기"
2188,448,"기타 "
3060,449,"타이어 "
4576,449,"체인"
4576,449,"페달"
1813,451,"체인"
1303,453,"체인"
738,453,"기타 "
738,453,"파손"
1606,454,"체인"
834,455,"안장"
1037,455,"체인"
1037,455,"페달"
2048,456,"기타 "
4063,456,"기타 "
2014,456,"안장"
25,456,"기타 "
989,457,"타이어 "
1401,458,"타이어 "
976,458,"타이어 "
976,458,"기타 "
843,459,"기타 "
1003,459,"기타 "
3018,459,"체인"
586,459,"체인"
586,459,"페달"
3484,460,"체인"
4539,462,"타이어 "
4539,462,"잠금장치 불량"
1597,463,"단말기"
1597,463,"기타 "
4141,463,"체인"
813,463,"체인"
813,463,"기타 "
2453,463,"단말기"
2453,463,"잠금장치 불량"
4963,465,"체인"
4349,466,"단말기"
2632,466,"기타 "
2810,468,"체인"
638,470,"기타 "
3804,470,"단말기"
3621,471,"타이어 "
66,472,"안장"
982,472,"타이어 "
2502,473,"기타 "
1349,473,"기타 "
2844,473,"체인"
2844,473,"기타 "
1056,473,"타이어 "
2948,474,"체인"
3766,474,"타이어 "
1120,475,"체인"
3161,475,"안장"
297,475,"안장"
616,475,"단말기"
425,476,"기타 "
1588,477,"타이어 "
4825,478,"기타 "
4391,478,"기타 "
266,478,"기타 "
3810,479,"기타 "
368,479,"체인"
195,479,"타이어 "
152,479,"기타 "
4135,479,"타이어 "
2828,480,"타이어 "
110,483,"페달"
110,483,"기타 "
4299,483,"체인"
4271,483,"체인"
2373,484,"단말기"
4009,486,"안장"
545,486,"기타 "
5317,486,"기타 "
